kanji,reading,meaning,suru,kaku
・,かなり,(adj.al n.) considerably; fairly; quite,,
宛名,あてな,"recipient, addressee (eg: for email)",,
上級,じょうきゅう,(n.) advanced level,,
（＃月）中旬,（＃月）ちゅうじゅん,mid to 2/3 of the month,,
準備,じゅんび,"(n.) preparation, setup",hai,
特に,とく（に）,(adv.) especially,,
弱い,よわ（い）,(adj.) weak; unskilled,,
署名,しょめい,(n.) signature,hai,
概論,がいろん,"(n.) introduction, outline",hai,
受講,じゅこう,(n.) taking / attending lectures,hai,
件,けん,"(n.) matter, case, item",,
内容,ないよう,"(n.) subject, contents, detail",,
相談,そうだん,(n.) consultation,hai,
都合,つごう,"(n.) circumstances, convenience",,
件名,けんめい,"(n.) subject, title (eg: in an email)",,
暇,ひま,"(adj.al n.) free-time, lesiure",,
早目（の）,はやめ（の）,(n. +の) early (esp. 早); fast (esp. 速),,
返事,へんじ,"(n.) reply, answer, response",hai,
本文,ほんぶん,"(n.) text (of doc), body (of letter)",,
履修,りしゅう,"(n.) taking a class, studying a subject",hai,
氏名,しめい,(n.) full name,,
挨拶,あいさつ,(n.) greeting,hai,
不要（な）,ふよう（な）,"(adj.al n.) unnecessary, unneeded",,
苗字,みょうじ,(n.) surname,,
非常識,ひじょうしき,(n.) lack of common sense; thoughtless,,
同士,どうし,"(n.) fellow, mutual",,
明記,めいき,(n.) clear writing; specification,hai,
〜欄,〜らん,"(n.) field (in a form, webpage, etc.)",,
容易,ようい,"(adj.al n.) plain, simple",,
推測,すいそく,"(n.) guess, conjecture",hai,
ご多忙ちゅ,（ご）たぼうちゅう,"""in the midst of your work"" (cf. お忙しいところ）",,
お忙しいところ,,,,
恐縮ですが、,きょうしゅく（ですが、）,feeling obliged; being grateful; being thankful / sorry (prepend a request),,
誠に,まこと（に）,"(adv) indeed, truly, really",,
用件,ようけん,"(n.) business, thing to be done",,
指図,さしず,"(n.) instruction, mandate, direction",hai,
締めくくる,し（めくくる）,(godan v.) to bring to a finish,,
目上,めうえ,(n.) one's superior,,
返信,へんしん,(n.) reply,hai,
教員,きょういん,(n.) teaching staff,,
敬う,うやま（う）,(godan v.) to show respect / honor,,
基本,きほん,"(n.) foundation, basis, standard",,
物事,ものごと,(n.) things; everything,,
配慮,はいりょ,"(n.) consideration, concern, forethought",hai,
合わせる,あ（わせる）,(ichidan v.) to meet / match,,
発想,はっそう,"(n.) expression, idea, way of thinking",hai,
余計（な）,よけい（な）,"(adj.al n.) too much, unnecessary, extraneous",,
言,げん,"(n.) word, remark, statement",,
読み手,よ（み）て,(n.) reader (person),,
悪印象,あくいんしょう,(n.) a bad impression,,
厳禁,げんきん,(n.) strict prohibition; ban,hai,
命令形,めいれいけい,(n.) imperative form (linguistics term),,
避ける,さ（ける）,(ichidan v.) to avoid (situation),,
参照,さんしょう,(n.) reference (ie: in dictionary),hai,
丁寧（な）,ていねい（な）,"(adj.al n.) polite, curteous, careful",,
通じる,つう（じる）,(ichidan v.) to be open (to communication),,
行,ぎょう,(n.) line of text,,
・,やりとり,"(n.) giving and taking; exchanging (eg: letters, conversation)",hai,
お互い,（お）たが（い）,"(adj.) mutual, reciporical",,
無駄,むだ,"(adj.al n.) futility, uselessness, pointlessness",,
調べる,しら（べる）,"(ichidan v.) to examine, to investigate",,
普段,ふだん,"(n.) usual, habitual, ordinary",,
直接,ちょくせつ,"(adj.al n.) direct, immediate, personal",,
文章,ぶんしょう,(n.) writing style,,
解決,かいけつ,"(n.) solution, resolution",hai,
・,ぷっつり,breaking-off; snapping-off (onomatopoeia),,
連絡,れんらく,"(n.) contacting, getting in touch",hai,
・,まれ,(adj.al n.) rare; seldom,,
事故,じこ,(n.) incident; circumstance,,
届く,とど（く）,"(godan v.) to reach, to arrive, to get at",,
起こり得る,お（こり）う（る）,"""to be possible to occur"" (expr.)",,
確認,かくにん,"(n.) affirmation, confirmation",hai,
最低,さいてい,"(adj.al n.) ""at the very least""; lowest, worst; nasty, disgusting, horrible, yuck!",,